Name;Address;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Pet shop caoqmia;Estrada dos Casa, 3528 - Bairro dos Casa, São Bernardo do Campo;4.7;23;ChIJ01v2Bj5BzpQRBC85dX_hhhs;pet_store;-23.7415442;-46.5744966
Pet Shop Cãoqmia;Estrada dos Casa, 2876 - Bairro dos Casa, São Bernardo do Campo;N/A;N/A;ChIJa85oCRRBzpQRS0a2tqVkC90;pet_store;-23.7391214;-46.5694475
Pássaro Furioso;Travessa das Sequóias, 60 - Bairro dos Casa, São Bernardo do Campo;N/A;N/A;ChIJsavzOzdBzpQRHo9g1aHBVo8;pet_store;-23.7383926;-46.5716629
QueriDu Pet - Banho e Tosa;Avenida Pérola Negra, 31 - Dos Casas, São Bernardo do Campo;5;10;ChIJE5kugdFBzpQRvmc-XLlr9jc;pet_store;-23.742982;-46.578561
Bicho Mimado Estética Animal;Rua Afonso de Albuquerque, 91 - Jardim do Lago, São Bernardo do Campo;5;36;ChIJFZHjrSRBzpQRBH9Tl4tNqLg;pet_store;-23.739649;-46.5762323
Esquina Pet;Rua Francisco da Rocha, 28 - Vila Carminha, São Bernardo do Campo;N/A;N/A;ChIJ6R50GoBBzpQR4wstdm5DtR4;pet_store;-23.7363183;-46.57699
Clínica Veterinária Franciscão;Avenida Maria Servidei Demarchi, 1556 - Demarchi, São Bernardo do Campo;4.6;224;ChIJF9DR6qdBzpQRJc9Sekp3MQg;veterinary_care;-23.7380222;-46.55377370000001
Pet Expert;Rua Simone de Beauvoir, 14 - Vila Vitoria, São Bernardo do Campo;4.5;16;ChIJS86oD2ZBzpQRPFtChUs6GEI;pet_store;-23.735558;-46.5782232
FAMILY PETLIMP;Avenida Maria Servidei Demarchi, 1548 - Demarchi, São Bernardo do Campo;4.9;51;ChIJlWH2UkhBzpQRyQH0HdBSfxc;pet_store;-23.737929;-46.5537159
Vetplace SBC;Rua Mateos Demarchi, 230 - Jardim das Quatro Marias, São Bernardo do Campo;4.8;307;ChIJhVMSDAhBzpQRJZpffD5tGCg;veterinary_care;-23.7395984;-46.55562449999999
Vila do Pet;Travessa Ney Barbosa, 20 - Jardim Silvina, São Bernardo do Campo;5;1;ChIJNzW7FSNBzpQRHUAPLlksYD0;pet_store;-23.7411833;-46.53766239999999
Home Pet;Rua Ferdinando Demarchi, 71 - Jardim Valdibia, São Bernardo do Campo;5;1;ChIJdZMjULNBzpQRU8OSXyPxpXA;pet_store;-23.7329505;-46.5572658
Nova Dog Fish Pet Shop;Rua Miro Vetorazzo, 843 - Demarchi, São Bernardo do Campo;4.7;43;ChIJrWWx_JZBzpQR91HWIqj05tc;pet_store;-23.733024;-46.55806580000001
Pet Shop Bom Cão;Rua Maria Nicolina Bellucce Piatto, 336 - Montanhão, São Bernardo do Campo;4.8;63;ChIJ2-v0RQVBzpQRQFYWFLmEKqc;pet_store;-23.7441831;-46.5303286
Pet Shop Tia Tami;Brazil;5;1;ChIJFzleCcpBzpQR3gZMu0KOf2g;pet_store;-23.7384497;-46.5352902
Fest Dog;Avenida General Barreto de Menezes, 775 - Ferrazópolis, São Bernardo do Campo;3.3;6;ChIJZ25ctstBzpQRWWRq4e4HYbs;pet_store;-23.7379593;-46.53272579999999
Lisa Pet Pet Shop 2;Avenida General Barreto de Menezes, 811 - Jardim Silvina, São Bernardo do Campo;4.5;2;ChIJ1_5R4KdBzpQRpCVNE4bKqWs;pet_store;-23.737963;-46.532529
Clínica Vet - PetShop e Veterinária;Avenida General Barreto de Menezes, 520 - Ferrazópolis, São Bernardo do Campo;4.7;128;ChIJI--QL8pBzpQR7iAx6-u5g2k;veterinary_care;-23.736804;-46.53467870000001
João Pet;Rua Dom Vasco Mascarenhas, 27 - Ferrazópolis, São Bernardo do Campo;5;1;ChIJm78xJQBBzpQRrgnqRjZtmf4;pet_store;-23.7361696;-46.5362064
Lisa Pet Pet Shop;Rua José Fiúsa da Rocha, 100 - Ferrazópolis, São Bernardo do Campo;5;9;ChIJhZy_5YpBzpQReUKnr9AmRz0;pet_store;-23.7352183;-46.5359497
Pet Shop Borges Veterinário;Brazil;4.8;17;ChIJL3UG2LdBzpQRa8KBFwdXPqA;pet_store;-23.7346487;-46.5355382
Pets'top;Rua Eloi Borges, 9 - Vila Sao Jose, São Bernardo do Campo;5;2;ChIJw2HGZchBzpQRmpknlEnHAtc;pet_store;-23.733058;-46.53358069999999
clinica ValVet;Rua Particular Flora Bulcão Vertemate, 120 - Jardim Silvina, São Bernardo do Campo;5;87;ChIJdVfoqetBzpQRXIqsrdzcSKM;veterinary_care;-23.7377319;-46.53841010000001
Clínica Veterinária Borges Jd Silvina;Rua Dom Jorge Mascarenhas, 71 - Jardim Silvina, São Bernardo do Campo;4.9;91;ChIJJX_YuMpBzpQRnWvRP47vZT0;veterinary_care;-23.7365432;-46.5334808
Dra.Daniela Ranha Teixeira Veterinária Vira-Lata´s;Avenida General Barreto de Menezes, 36 - Ferrazópolis, São Bernardo do Campo;4.9;198;ChIJ6_MMCrdBzpQR9pHsG0MmA-4;veterinary_care;-23.7352258;-46.5379734
Rabbit Bichos E Lar;Rua Rio Cachoeira - Jardim Riviera, Santo André;5;1;ChIJ713BoetqzpQRQh8owqYIdYs;pet_store;-23.7435582;-46.4943946
Casa de racao pedrinho;Estrada do Pedroso - Parque Miami, Santo André;N/A;N/A;ChIJd8jCotNrzpQRpVUrLLu9aJE;pet_store;-23.7401446;-46.4960759
Pink Pet's;Estrada do Pedroso, 3320 - Parque Miami, Santo André;5;12;ChIJwR-mWJ9rzpQRKpHhXHCImi8;pet_store;-23.7412527;-46.4944338
PET SHOP CÃOPEÃO;Brazil;N/A;N/A;ChIJuWXtr_JqzpQRoXr-1LOAqSc;pet_store;-23.7377459;-46.49644969999999
